player.name,season,player.team.code,player.team.tvCodes,player.team.name,minutesPlayed,Height,offensiveReboundsPercentage,defensiveReboundsPercentage,assistsRatio,turnoversRatio,blocks,steals,pointsScored,usageProxy,pir,freeThrowsRate,freeThrowsPercentage,fieldGoalsAttempted,twoPointersPercentage,threePointersPercentage,3FGA_Pct,Corner_3FGA_Pct,0_1m_FGA_Pct,1_3.5m_FGA_Pct,3.5m_3pt_FGA_Pct
"NOUA, AMINE",2020,ASV,ASV,LDLC ASVEL Villeurbanne,15.527976190476192,202.0,0.027000000000000003,0.17300000000000001,0.131,0.085,6.2,6.2,79.4,0.40571932380112696,80.6,0.163,0.762,73.1,0.485,0.317,48.84,26.98,8.53,35.66,6.98
"MICOV, VLADIMIR",2020,MIL,AXM,EA7 Emporio Armani Milan,19.081666666666667,200.99999999999997,0.013000000000000001,0.08800000000000001,0.14,0.121,0.9,8.9,85.8,0.3773255306140274,75.0,0.162,0.75,69.0,0.5,0.45799999999999996,32.43,43.75,3.38,39.86,24.32
"CAUSEUR, FABIEN",2020,MAD,RMB,Real Madrid,14.108928571428573,196.0,0.012,0.083,0.184,0.129,0.0,5.5,81.0,0.552841412479433,69.5,0.33799999999999997,0.659,59.800000000000004,0.514,0.41700000000000004,46.15,23.33,6.15,46.92,0.77
"KARASEV, SERGEY",2020,KHI,KHI,BC Khimki,18.660714285714285,200.0,0.022000000000000002,0.11,0.146,0.10800000000000001,1.1,15.1,85.7,0.35368421052631577,81.4,0.266,0.879,66.8,0.617,0.312,62.1,40.26,4.84,23.39,9.68
"HARRISON, AARON",2020,OLY,OLY,Olympiacos Piraeus,17.5,198.0,0.013000000000000001,0.11599999999999999,0.125,0.08199999999999999,1.3,5.6,75.4,0.4914285714285714,62.9,0.358,0.807,68.5,0.415,0.266,59.12,19.15,1.89,23.27,15.72
"KAHUDI, CHARLES",2020,ASV,ASV,LDLC ASVEL Villeurbanne,21.208602150537637,197.0,0.03,0.114,0.14300000000000002,0.10300000000000001,1.0,11.8,85.2,0.3111944838775096,83.7,0.23,0.9059999999999999,68.5,0.441,0.39399999999999996,51.08,32.39,5.04,24.46,19.42
"SEDEKERSKIS, TADAS",2020,BAS,TDS,Baskonia Vitoria-Gasteiz,16.276041666666668,200.0,0.047,0.17,0.243,0.128,5.4,12.2,74.9,0.28262399999999993,121.5,0.27699999999999997,0.7829999999999999,56.099999999999994,0.5660000000000001,0.36700000000000005,36.14,30.0,20.48,40.96,2.41
"ORIOLA, PIERRE",2020,BAR,FCB,FC Barcelona,15.016666666666666,208.0,0.121,0.171,0.122,0.182,4.9,2.8,82.7,0.4328523862375139,87.6,0.381,0.589,59.6,0.569,0.5,6.8,0.0,21.77,58.5,12.93
"ANDERSON, JAMES",2020,IST,EFS,Anadolu Efes Istanbul,15.148373983739836,199.0,0.062,0.16,0.17,0.08800000000000001,3.3,9.9,94.2,0.29706158593854826,128.2,0.43,0.7140000000000001,62.4,0.54,0.451,44.74,15.69,9.65,38.6,7.02
"HOLLINS, AUSTIN",2020,DYR,ZEN,Zenit St Petersburg,19.36184210526316,192.0,0.035,0.078,0.099,0.09,2.4,11.1,92.6,0.45450220863064894,66.3,0.187,0.83,75.0,0.52,0.369,59.36,12.75,8.76,21.51,10.36
