player.name,season,player.team.code,gamesPlayed,minutesPerGame,pointsPerGame,reboundsPerGame,assistsPerGame,stealsPerGame,blocksPerGame,turnoversPerGame,pirPerGame,twoPointersPercentage,threePointersPercentage,freeThrowsPercentage
"MCCOLLUM, ERRICK",2020,KHI,28.0,21.57619047619048,11.6,2.4,2.3,0.9,0.2,1.6,11.2,44.0,34.4,84.8
"MITOGLOU, KONSTANTINOS",2020,PAN,34.0,20.311764705882357,9.3,5.4,0.9,0.7,0.3,1.2,11.3,57.5,29.5,71.2
"PREPELIC, KLEMEN",2020,PAM,32.0,20.561979166666667,12.1,1.4,2.8,0.5,0.0,1.7,11.3,56.2,41.5,90.1
"ZIZIC, ANTE",2020,TEL,34.0,19.87745098039216,9.1,5.4,0.7,0.4,0.8,1.4,11.4,58.9,0.0,77.1
"VOIGTMANN, JOHANNES",2020,CSK,37.0,19.604054054054053,8.5,4.9,1.3,0.5,0.3,1.1,11.4,61.1,46.4,86.3
"GRANGER, JAYSON",2020,BER,28.0,23.285714285714285,8.1,2.7,4.9,1.0,0.0,1.9,11.4,49.0,33.6,77.8
"DELANEY, MALCOLM",2020,MIL,32.0,24.922916666666666,11.6,2.6,3.5,0.9,0.0,2.0,11.5,42.1,38.8,81.4
"PUNTER, KEVIN",2020,MIL,36.0,24.70648148148148,14.3,1.6,1.4,0.8,0.1,1.1,11.6,50.7,39.2,89.4
"TOBEY, MIKE",2020,PAM,33.0,18.68282828282828,9.6,5.0,0.8,0.4,0.4,0.9,11.7,67.5,39.6,81.4
"SIVA, PEYTON",2020,BER,26.0,20.308333333333334,10.1,2.0,5.2,1.2,0.0,2.3,11.7,43.0,33.3,90.4
"PIERRE, DYSHAWN",2020,ULK,36.0,24.166666666666668,9.1,3.3,2.0,0.5,0.4,1.2,11.9,61.4,41.7,88.0
"LAUVERGNE, JOFFREY",2020,ZAL,32.0,20.909375,10.7,5.6,1.5,0.5,0.1,1.6,12.0,59.0,40.0,66.0
"SHENGELIA, TORNIKE",2020,CSK,37.0,24.90945945945946,11.2,4.9,2.3,1.2,0.2,2.1,12.1,50.8,31.5,65.1
"LAMMERS, BEN",2020,BER,28.0,20.707738095238096,10.0,4.0,0.7,0.8,1.3,0.7,12.2,63.9,36.8,88.9
"LEDAY, ZACH",2020,MIL,36.0,24.683333333333334,10.0,4.5,0.6,0.6,0.3,0.9,12.2,48.6,46.6,91.8
"SIMON, KRUNOSLAV",2020,IST,35.0,26.613333333333333,10.3,3.1,3.3,0.5,0.3,1.2,12.2,55.7,40.3,76.9
